Yab,T,X
[0.98360792],[0],"[-1.01491789  0.02795429  0.91323958 -0.61234783  0.1313258  -0.14619512
 -0.5060922  -0.40153329  0.31138309 -0.29047669]"
[47.71661633],[1],"[ 0.29030406  1.16331735  0.74148757  0.04749077  2.28766592 -0.43485409
  0.42561142 -0.35640101  0.66438088  1.01166367]"
[-30.3627595],[0],"[-0.4983515  -2.15582696 -1.18641051 -2.94497547 -0.16230568 -0.23041644
  0.00553974 -1.31814039 -0.77002366 -1.13380411]"
[4.90483264],[0],"[ 0.30433373 -1.14676339  1.17266326  0.63971507 -0.43798359  0.06606708
 -0.28839897  0.33290101  0.63960781 -0.00975062]"
[-14.58925285],[1],"[-0.03350518 -0.28840994 -1.32813598  1.99906883 -1.10308206 -0.30442946
 -0.51445518  1.37992674  0.02337846  0.38717429]"
[7.63575172],[0],"[-7.26198546e-02  1.90504088e-01  8.94756647e-01  4.86157504e-02
  5.15855197e-01 -7.00034241e-01 -6.16167111e-01 -4.26064421e-01
  1.05209452e+00 -2.96625463e-04]"
[-12.95028594],[1],"[ 0.40403157 -0.45136438 -0.61830803 -0.51818192 -0.70994712 -0.55622758
 -0.54081859 -0.16538445 -0.0536457  -0.12731006]"
[-6.18137773],[1],"[-1.42093074 -0.46929458 -0.16275561 -0.37576811 -0.31234349 -0.45671614
  0.93120029 -0.38474749  0.44610168 -0.47747325]"
[-6.58036057],[1],"[-0.28917922  0.09940409 -1.76611511  0.06361238  0.51470667  0.20905009
  0.22192301  0.18144735  0.01195288  0.04509978]"
[24.1391513],[1],"[ 2.00150509  0.36195875  0.8468214  -0.79697702  0.50502927 -0.51812019
 -0.9954777   0.81955682 -0.89646631  0.1498319 ]"
[-14.34819093],[0],"[-0.70304964  0.42492547 -0.85682213  0.15385118  0.39302948  0.57411816
 -1.08083709 -0.73088042  0.15042781  0.15644229]"
[63.12605286],[1],"[1.44823895 1.23154116 1.14584202 0.10635465 1.49341836 1.42898552
 2.13734612 0.32902852 1.90019911 1.27811832]"
[-15.47226283],[0],"[ 0.29169956 -0.80353703 -0.21788258 -1.03643411  0.20015344 -1.41556615
 -0.33641863 -0.80468159 -0.37762255 -0.70212009]"
[-0.18621935],[0],"[ 0.27891512 -0.01566628 -0.14047817 -0.38158598 -0.42925314  0.99042675
 -0.23273727  1.09557739  0.98463922 -0.06815972]"
[-43.77016072],[0],"[-2.11063493  0.00867859 -0.36786783 -1.53884456 -0.8484917  -1.2107428
 -1.22079285 -1.49095225 -0.98953786 -1.12754176]"
[-29.53137573],[1],"[-1.55944211 -1.6708178  -0.48301086 -1.31318796 -0.58452508 -0.58814298
 -1.59025528 -0.94471141 -1.97313446 -0.77301525]"
[-25.3752628],[0],"[ 1.49604566  1.56552003 -1.49556329  0.33203854 -0.68168971  0.19392885
 -1.6847476  -0.66709552  0.17867925  0.62050708]"
[12.95785991],[0],"[ 1.04137838  0.33471332  0.48903776  0.48343907  0.16996622 -0.35274351
  0.67348556  0.40129041 -0.11057121  0.18781   ]"
[-24.29491432],[0],"[-1.85646132  1.16481409 -0.00684546 -1.38274964 -1.31987883 -0.19524675
 -0.96886862  0.34949062 -1.15348527 -0.61495429]"
[14.2047719],[1],"[-0.18027905  0.22751073 -0.11374583 -0.00679017  1.0802144  -0.32095829
  0.06451281  0.10382681  0.18938638 -0.03626441]"
[-23.74208802],[1],"[-0.6817162  -0.87360869  0.13288108 -3.07019545 -0.75001095 -0.82887265
 -1.55749972 -1.12139051 -1.00251559 -0.97297995]"
[14.75289915],[0],"[-1.89833626  0.41143055  1.95264499  0.98384521  0.43791698  0.43514767
 -1.23189544 -0.14516981  0.38667607  0.08937287]"
[19.73694757],[1],"[-0.0846622  -0.20030985  0.02542093 -0.32991409  1.00333393  0.21865481
  1.09188114 -0.47862168  0.57644705  0.28143651]"
[21.03875347],[1],"[-0.36005817  0.1247355   0.6490698   2.14771744  0.71523951  0.1634463
  0.01909414  0.25480888  0.95602593  0.51403253]"
[14.99081741],[1],"[ 0.4439372  -0.28020087 -0.55197658  0.88601349  1.18030226  0.61090828
  0.95373916 -0.51044311 -0.27114845  0.37697488]"
[10.63212088],[1],"[-0.06012855  0.27714739  0.89749513  1.75332452 -0.09477436 -0.38434788
 -0.04112266  0.34611959  1.46747005  0.18291644]"
[-43.50540812],[1],"[-0.59869945  0.19772233 -1.79996396 -0.78643428 -1.31304264  0.26084244
 -0.90216275 -0.45785413 -0.65873923 -0.74921029]"
[-23.09708199],[1],"[ 0.25134478 -0.96222619 -0.51329205 -0.07000195 -0.51599579  0.62431948
 -2.14986682 -0.37528412 -1.51114661 -0.52124318]"
[-4.45598954],[1],"[-0.65210398 -0.5267648   0.27755695 -0.82879355 -0.29847208 -0.44975115
 -0.56482353 -0.62028163  0.89444921 -0.05132373]"
[-46.81667658],[1],"[-0.83224448 -0.53813313 -0.42052238  0.12968703 -1.9313614  -0.53278995
 -1.31476348 -0.73642619 -1.28990535 -0.99990243]"
[-6.7964794],[0],"[ 0.04724884 -0.9775519  -0.69961488 -0.07919642  0.03874301 -0.88345111
 -0.47951023  0.29542658  0.00347518  0.22834305]"
[17.19546796],[0],"[-0.73192695  1.53923788  0.98723674 -0.90467225 -0.30977193  0.90745612
  0.51714583  0.31146297 -0.24337871  0.16556629]"
[54.14368424],[0],"[2.41314895 0.0459908  1.03019351 2.01138323 1.76681195 0.48700786
 1.21843438 1.16006629 1.23258574 1.08952083]"
[-0.93036844],[1],"[ 1.23101869  0.9720951  -0.70353288 -1.81229293 -0.56791789 -0.65038381
  0.56271828 -0.47001806 -0.09449731  0.21613039]"
[-48.96230037],[0],"[-1.33811834 -0.27489312 -1.14904286 -0.5680206  -0.38713944 -0.46232552
 -1.42627294 -1.53031179 -0.20841079 -1.12430074]"
[2.44075722],[1],"[-1.11247273  0.36262859  0.01159767  0.22610562 -0.44628787  0.76438569
  0.12615762  0.03720654  0.58058902  0.26966116]"
[-31.10806611],[0],"[-2.39212007  1.10319679 -1.09329181 -1.92454487 -0.91147618 -0.21725926
  0.18299939 -0.82011044  0.16238402 -0.48716784]"
[-37.11418877],[0],"[-2.07917656 -0.61037843 -1.01566118 -1.4568249  -0.55121403 -0.06358571
 -1.23329978 -1.22998448 -0.65808453 -0.75173586]"
[27.4314653],[0],"[-0.14397052  0.12552299  1.1800227   0.05283872  0.46112355  0.80450701
  1.08250267  0.23064668  0.97473033  0.30194593]"
[24.66840263],[1],"[ 1.11243557 -0.08547535  1.50295299  1.74835819  0.3775544   0.74033574
 -0.68879021  0.69169139 -0.40353547  0.27123902]"
[-2.75419424],[1],"[ 0.50082528 -0.75800733 -0.87326999 -0.08937276 -0.18200328  1.75304939
 -1.16402129  0.39203512 -0.39461736  0.26733175]"
[59.89270545],[1],"[1.45297993 0.27950371 1.24314616 1.17878273 1.96097244 1.16167433
 0.74517471 1.64254182 1.21938539 0.74302307]"
[47.56413504],[1],"[0.53168743 0.56187267 0.82154429 0.1605876  1.19947934 1.87191801
 1.04996683 1.27705882 1.47412577 0.69308108]"
[7.64909192],[1],"[-0.19791786 -0.17633431  0.76960256  1.03000245  0.87570107 -0.47600478
 -1.2810539  -0.52747338 -0.35558476 -0.0357066 ]"
[-17.69528741],[0],"[-1.72605386  0.30719727 -0.15658058  0.10842808 -0.56135672  0.116564
  0.26145283 -0.55889666 -0.49710429 -0.51557228]"
[-20.29365312],[0],"[-0.99079551 -1.05668787  0.18171198 -0.65869815 -0.7664564  -0.24231706
 -0.40595708 -0.1710585  -0.88339795 -1.00425684]"
[17.88642376],[0],"[-0.11472412 -0.28191713  0.4066555   0.94085831  1.12822216 -0.0128356
  0.10188661  0.3037604  -0.35280234  0.0090768 ]"
[43.19004112],[0],"[ 0.90884156  0.35412399  2.04277827  1.42366341  0.80114929  0.77222293
 -0.1714087   1.00256561  0.58016522  0.84058243]"
[75.85564781],[0],"[0.84247941 1.88443868 2.23898375 2.12980564 0.85815752 1.36654598
 1.08661602 2.10355236 1.23312344 2.25692388]"
[-25.90587848],[0],"[-1.03364999 -0.45213453 -0.97416861 -1.76400249 -0.49296621  0.37524064
 -0.94432615 -0.54445192 -1.47247797 -0.57059172]"
[-7.78172337],[0],"[ 0.89743078  0.01719727  0.07615968  1.80701124 -0.71739729  0.99562505
 -0.40536402  0.37560838  0.75957584  0.06508042]"
[44.27752834],[0],"[2.07353746 1.15048003 1.80499165 0.08154539 0.43766888 1.68889114
 1.10679402 0.46427907 1.69229786 0.75526149]"
[48.28989954],[1],"[0.88200503 1.2407699  0.63799206 1.76225875 2.01062301 0.42882928
 1.10569057 0.16303058 1.42227052 1.13654557]"
[-30.7223896],[0],"[-0.27259249 -0.77058033 -0.97656888 -0.74725131 -0.73584972 -1.06891641
 -0.48111148 -0.4065874  -1.54565646 -0.78222093]"
[12.87062872],[1],"[-0.23110031 -0.39019899 -0.34137167 -0.86314093  0.84869251  0.5223995
  0.75251454 -0.29380481 -0.35744733 -0.18084217]"
[27.15127461],[0],"[-0.5983941   0.0547894   1.26519782 -0.50056596  0.13432293  0.07117661
 -0.17965342  0.49561516  0.85278343  0.87238185]"
[7.15787481],[0],"[-0.58557754 -0.0951422   0.82972627 -0.07124899 -0.15708623  0.51131674
  0.03458953  0.01837527 -0.49418365  0.07977362]"
[4.95201793],[1],"[ 0.61270261  0.19146679 -0.42207707 -0.2240772  -0.10424116  0.06665815
  0.05588275 -0.15892478  0.14914797  0.3986462 ]"
[56.43994198],[1],"[0.80091476 0.82895286 2.164975   0.90061584 1.09611212 0.61003016
 1.41389993 0.80854355 1.16294142 0.73707739]"
[-83.06357668],[0],"[-1.48104515 -1.70926401 -1.64402036 -2.32142269 -1.54352319 -1.65377732
 -3.13366991 -2.54393688 -1.9270504  -1.60359263]"
[-49.51851554],[0],"[-0.79125929  0.10975621 -1.27800557 -1.0334302  -1.04866394 -1.87978783
 -1.44874716 -0.68021911 -0.73760918 -1.09677286]"
[17.6959109],[0],"[-0.11122627 -0.68557486  0.73216352 -0.4953026   0.1381096  -0.01999642
  0.03782705  0.70325962 -0.15762925  0.22090922]"
[4.94054157],[0],"[ 0.67078116  1.29536881 -0.65857011  0.7688663  -0.68753204  0.43358811
  0.31353905  1.23344384  0.43240072  0.62730152]"
[50.10674167],[1],"[0.60115968 2.041116   1.57785408 0.91072111 0.72089476 0.5596722
 0.48386185 1.51077451 1.38833547 0.83829367]"
[35.42636528],[0],"[ 1.74816159  0.15106383  0.90708733 -0.98050946  0.81708372  0.33655441
  0.80417658  0.16348076  0.30729904  0.80013958]"
[-66.92337818],[0],"[-0.35165238 -1.55835972 -1.68328977 -1.20588314 -1.29949713 -1.31616774
 -1.44607219 -1.85240845 -0.67951438 -1.55912192]"
[-52.96444535],[0],"[-0.74712731 -0.9581909  -1.23506607 -0.49301679 -1.75189322 -0.3475237
 -0.70820381 -1.18890841 -0.96191286 -0.81448919]"
[-22.94744172],[0],"[-0.1556118   0.49082601 -1.01250587  0.36654982 -0.28366258  0.51451755
 -0.76538146 -0.84568592 -0.03581608 -0.07135601]"
[29.1696251],[0],"[ 2.12405637 -0.43804227  0.53537504  0.41363038  0.45033287  0.84844017
  0.54852768  0.489203    0.43570716  0.85212966]"
[53.94353299],[1],"[1.97685434 1.09321484 1.21156124 1.19686575 1.48572911 1.45662164
 1.19957449 0.33335843 1.32871804 1.0076683 ]"
[-4.31054729],[1],"[ 0.94225819  0.18821847  0.37926633 -0.82903091 -1.30604997  0.58498302
 -0.32384283 -0.19463509 -0.05835996 -0.00299957]"
[43.76239542],[0],"[2.25188583 1.34336888 0.08856465 0.61632719 1.50754453 0.98956757
 1.87895889 1.20317357 1.73334469 0.71445563]"
[-35.14900651],[1],"[-1.1729234   0.68044306 -0.65207745 -1.62046864 -1.45353538 -1.08740621
 -0.82968938 -1.05220422 -1.53538922 -0.68212818]"
[-7.92828324],[1],"[ 0.82947795 -0.07346608  0.14808117 -1.28898775 -0.65425139  0.71039249
 -0.87074873 -0.88447046 -0.07605308 -0.15074706]"
[24.40529276],[1],"[-0.24197892  0.40835293 -0.16474984  0.98543459  1.67141324  1.12973677
  0.44979417  0.17454239  0.69699404  0.31050254]"
[6.19549543],[1],"[-1.51276973 -0.20527079  0.14152954 -0.88924622  0.64767642 -1.47583349
 -0.51269722  0.21001709 -1.2363359  -0.25044714]"
[15.37867617],[1],"[-0.596245   -0.4029805   0.55772432 -0.25108026  0.12699734 -0.24718898
 -0.10092719 -0.05477416  0.01164227  0.46623297]"
[-46.09036188],[1],"[-0.93688354 -0.50199673 -1.41322155 -0.53352942 -1.4300357  -1.32359549
 -1.08171341 -0.28613943 -1.57219421 -1.00811777]"
[17.8456561],[0],"[-0.27802767  0.47762574  0.69023244 -1.8248388  -0.73603932  0.4636555
  1.36188621  0.42388218  0.700513    0.30936244]"
[59.57537109],[1],"[0.41162343 2.45906012 1.73825482 2.05937573 0.80058632 0.6635013
 1.04550663 1.45803659 1.26133732 1.43552851]"
[-8.64431846],[1],"[-1.47485259  0.66805355  0.08458622  0.57163215 -0.61436715 -0.27871597
  0.29462515 -0.32466022 -0.44462925 -0.18334349]"
[-33.04887372],[1],"[-1.243379   -1.71831604  0.16665998  1.39366921 -1.488298   -0.11953606
 -0.96455026 -0.56564152 -0.77033458 -0.78108648]"
[-1.66240714],[0],"[ 0.36718521 -0.42516639 -0.3125347  -0.62316318  0.26477864 -1.24217028
 -0.58460596 -0.44504895  0.17842479  0.31078731]"
[-12.6143163],[0],"[ 0.86532099 -0.50995499 -0.27642972 -1.99362411  0.01305618 -0.61144762
 -1.59949567 -0.27682903 -2.12996068 -0.50351464]"
[48.27288303],[1],"[0.89257998 1.74125409 0.81916264 1.82094164 1.19915045 1.29178593
 1.60794    0.63967959 0.59666697 0.89652606]"
[-19.78000297],[0],"[-1.18678962  0.27334304 -0.6218847  -1.51814819 -0.25219456 -1.25744311
 -0.80031373  0.02533762  0.00617897 -0.56717349]"
[-14.57351404],[0],"[ 1.31689095 -0.49388995 -1.73857985 -0.78895162 -0.33007571 -0.66412758
  0.53350928 -0.34572908  0.38741282  0.21627592]"
[29.96797212],[0],"[-0.83698954 -0.16291917  1.2978585   0.85547019  0.49299574  0.8164393
  0.97133084  0.06879944  0.16399879  0.71300499]"
[107.75908329],[0],"[2.84551221 2.59302414 2.52457687 3.62036223 3.22996455 2.59029663
 1.7247244  2.05778787 2.23677621 2.28954622]"
[-8.86948221],[1],"[ 0.56616373 -1.03364013 -0.26919813 -0.46959452  0.52773556 -0.89279542
 -0.84472579 -0.33379463  0.48217414 -0.52354865]"
[15.37032577],[0],"[ 0.47430163  0.26277222  0.8572558   0.84163704  0.30799694  0.00699572
  0.64938422 -0.50168894 -0.03071715  0.25313329]"
[63.96867428],[0],"[1.12540622 0.76004313 1.73344129 1.32625681 1.75472289 1.04969372
 1.37104873 1.30586602 0.7046464  0.98369004]"
[-22.04435655],[0],"[-0.31498543  0.19658135 -0.64669682 -0.25970532 -0.54318174  1.10369951
 -0.68087997 -0.08269028  0.00122077 -0.53090013]"
[36.80325082],[0],"[ 0.64987186  2.30711726  0.50177738 -0.75622899  0.21190487  0.57205303
  2.06133532  0.83038813  1.40735777  0.76912186]"
[-10.21465213],[1],"[-0.74959814 -0.14960667  0.75490166  0.14667841 -0.78138897 -0.80123453
 -1.1883657   0.09609901  0.00765097 -0.41439143]"
[-3.99553148],[0],"[-0.98801901  1.06808191 -0.82808424  0.74211894  0.69586092 -0.38691977
  0.22075498  0.0764096  -0.12536115 -0.18263764]"
[-12.47489935],[0],"[-0.54961179 -0.71084663 -1.15690647  1.63672526  0.5937117  -0.29754551
 -0.17092856 -0.58727587 -0.5793006   0.15237957]"
[2.07159402],[1],"[-0.30616431 -1.07845598 -0.63091681 -1.70097937 -0.01853089 -0.83483902
  1.10884405  0.03426593 -0.6747083  -0.31033848]"
[13.09692332],[1],"[ 0.5644892  -0.72116644  0.73399814  0.26394036 -0.09656241 -0.3615136
  0.83981405  0.18164907 -0.49634948 -0.17006958]"
[0.28388598],[0],"[ 0.29616047 -0.41527058 -0.14219427  0.97122759  0.15702125 -0.29529379
  0.28174457  0.40950477 -0.03823385 -0.14270392]"
[5.76993673],[0],"[-0.9374508   0.09110329  0.46626004 -1.92900197  0.69410947 -1.10602263
 -0.38569873  0.00284567 -1.22531741 -0.45428999]"
[9.23706318],[1],"[ 1.01454474  0.1201791  -0.27650208  0.17395127  0.61867942  0.24341506
 -0.11310666  0.01978132  0.94715724  0.07403908]"
[38.48059887],[1],"[ 0.24458691  0.92074039  0.61346555 -0.09910306  1.49511143  0.12587966
  0.34394359  0.90315071  0.56706265  0.45426195]"
[55.97522771],[0],"[0.89539194 1.33931549 2.81005965 0.70902034 0.55477509 0.29395011
 1.24884858 0.7553986  0.53230838 0.90145095]"
[20.14905563],[0],"[ 0.56711755  0.38238031  0.5326516   1.26297532  0.13186858 -0.21351144
  0.97142832  0.936826   -0.29246978  0.31296079]"
[18.40996055],[0],"[-0.09138655  1.56781788  0.42232952  1.48845735 -0.53877285 -0.13454066
  0.83233131  1.78171513  0.40593211  0.77811811]"
[28.48630645],[0],"[ 0.44183713  0.24844347  0.5834801  -0.54820094  1.06114168 -0.6233407
  1.227395    0.75529951  0.30675415  0.08240867]"
[-37.99088564],[1],"[-1.152048   -0.97089441 -0.14762526  1.00399259 -2.13085333 -1.15730623
 -0.79462501 -0.42692909 -1.7385046  -0.7340074 ]"
[10.66929983],[0],"[-0.33336236 -0.56255492 -0.09630465  1.2674811   1.26920836  0.5353843
  0.77724742 -0.59956286  0.9960648  -0.00731123]"
[13.67650348],[0],"[-1.22549480e+00  1.13052707e+00  3.49242863e-01 -3.82477280e-04
  3.28850127e-01  8.82660845e-01  1.69350293e-01  3.74415358e-01
  5.68172827e-01  3.32435639e-01]"
[11.7335249],[1],"[ 0.22746405  1.03508485  0.4670155  -0.23716782 -0.55707976  0.29464051
  0.33252279  0.49842976 -0.51184228  0.21277737]"
[22.07791903],[0],"[-0.97614139  0.01592797  0.24077625 -0.10943303  2.01262288  1.20080474
  0.19984724 -0.65352603 -0.62678116  0.05662208]"
[44.3993524],[1],"[1.69186686 0.75161579 1.32757312 0.60834144 0.07553038 1.51075136
 2.39692411 0.55574548 0.73821796 0.55016131]"
[-29.12387086],[1],"[ 0.07529398 -2.02632918 -1.43437801 -0.76049995 -0.74744583 -0.09682894
 -0.18739665 -0.61301921 -1.7942247  -0.62429396]"
[29.92397967],[0],"[0.97858985 0.94788367 0.25186502 0.15530419 1.02490422 1.22385394
 0.46464265 0.73075883 1.23332511 0.4600544 ]"
[-4.38895524],[0],"[-0.43128936  0.33583656 -0.16630463  0.85149644  0.26641299  0.92808676
  0.10060351 -0.86857549 -0.68175195 -0.07774098]"
[8.12852179],[0],"[ 0.4458496  -0.59440357  0.72634651  1.65366699 -0.25652042  0.89711485
  0.90061834 -0.06131994  0.25796248  0.12273322]"
[-26.36183574],[0],"[-1.40036681 -0.124532   -0.71498103 -0.04220527 -0.42729732 -0.63995743
 -0.53983528 -0.18025063 -0.43433812 -0.57817395]"
[21.58794196],[1],"[-0.01516788 -0.63049376 -0.44807685  0.3142176   1.31337965  0.75913011
  0.07830067  1.29301476  0.18982474  0.0737456 ]"
[9.74787401],[1],"[-0.084438   -0.33242281 -0.14661677 -0.09861273  0.1404821  -0.00796528
  0.89511154  0.45768659 -0.04177729 -0.18116523]"
[-43.02214353],[0],"[-1.22276886 -1.3803083  -2.74441469 -0.06286693 -0.04803444 -0.49808123
  0.3044391  -1.33429357 -1.82488235 -0.58470302]"
[21.73984897],[1],"[ 1.15404971 -0.67411669  0.55575943 -1.99677192  0.46121905  0.27333992
  0.06178289 -0.45461797  0.56117097  0.29386991]"
[-19.65062098],[0],"[-0.58962759  0.73662142  0.01600832 -2.21249075 -0.84347557 -0.32721949
 -0.72745255 -0.9356729  -0.57449186 -0.35212603]"
[24.37149707],[1],"[-0.84324415  0.69838584  0.01327864  0.84775446  1.43602672  0.65335913
  0.48297863  0.3778815   1.31106688  0.42659023]"
[35.53074122],[0],"[-0.43841496 -0.98417209  1.49826741  0.77228879  1.06001499  0.07089051
  0.76784172  0.74345909  0.252903    0.19609756]"
[-2.92567118],[1],"[ 0.01782373  0.18985384 -1.12299994 -1.56732283 -0.34167042 -1.14813455
  1.2626495  -0.15388016 -1.21066534 -0.08023078]"
[-29.58429682],[1],"[-0.82008727  0.49524749 -1.22594608  0.34636449 -0.86335324 -1.77490433
  0.43929172  0.03237541 -0.67481055 -0.88111631]"
[-67.55173418],[0],"[-2.46565842 -0.39782765 -2.03827888 -2.36948077 -1.24995927 -1.6320958
 -1.64131181 -0.56451981 -1.83998244 -1.75111487]"
[-107.70951643],[0],"[-2.19990675 -2.56412913 -4.04803881 -1.46278162 -1.49172116 -2.11786102
 -2.03131455 -2.38559386 -1.86755137 -1.8664835 ]"
[-23.01748917],[0],"[-0.43750402 -1.49402833 -0.14645869 -1.34806987 -1.27285668  0.28410782
 -1.02049767 -0.14976968 -0.22814864 -0.43078019]"
[-50.35620174],[1],"[-1.7836745  -2.02221072 -0.75968257 -0.89453182 -1.54430624 -1.16273968
 -1.4991293  -0.21669075 -1.52112077 -1.51790619]"
[20.70852789],[0],"[ 0.57751829  0.03803761  0.53035393  0.74336166 -0.1721554   0.57023889
  1.52761155  0.7998433   1.0033921   0.4157972 ]"
[14.98136653],[1],"[ 0.58690073 -1.37064946 -0.16515602  0.59284017  0.67038818  0.28790774
  0.34442133 -0.24598358  0.06531532  0.33531373]"
[-33.73930988],[0],"[ 0.40230744  0.15447793 -0.65860329  0.74850121 -1.02842386 -0.09865465
 -0.18988668 -1.12936704 -0.18595938 -0.40095663]"
[-15.609788],[0],"[-0.52511886 -0.18403536  0.09283465 -1.55949287 -0.3685493  -0.4576995
  0.35251258 -1.12167099 -0.22052553 -0.78936883]"
[-2.74525244],[0],"[-0.35892355 -0.62100896  0.74691056  0.87440802 -0.21806308 -0.32457449
 -0.49479753 -0.00235513 -0.05258297 -0.20861774]"
[4.60809875],[0],"[ 0.54587634  0.6508947   0.41449672  0.67259403  0.12979892  0.63946219
 -0.93719449  0.80599707  0.74096775 -0.11417299]"
[-18.35864701],[1],"[-0.35205609 -0.58954662 -0.64184479 -0.63607825 -0.53952915 -1.40093718
 -0.17263053 -0.1678491   1.06999441 -0.41156774]"
[2.19654709],[1],"[-0.93968537 -0.5471687  -0.75784109  1.1643496   0.58078615  0.1784323
  1.29411482 -0.16403177 -0.16371355 -0.16833268]"
[53.67626499],[1],"[ 0.4661245   1.42070983  0.55535043 -0.07757183  1.3959198   0.91390742
  1.84038388  1.49569333  1.41519384  0.75568974]"
[11.28869347],[0],"[ 1.39702228 -0.3286572   0.29366643  0.24492735  0.6986185   0.93579781
  0.51910428 -0.86902034  1.13318873  0.29218034]"
[27.44430661],[0],"[-0.17988425  0.1585272   1.06009139  0.5421215   0.90153475  1.09274434
  0.5831059   0.05972312  0.55079993  0.26152821]"
[50.4526696],[1],"[-0.25704986  0.3088797   1.97141227  0.97272815  0.9370563   1.13805693
  1.13918153  0.93799662  0.82726824  0.65327084]"
[9.33692396],[0],"[ 1.30139951 -0.81864358  0.26330746 -0.18307785  0.89084575 -0.61584751
 -0.74245594 -0.48116415 -0.59881677  0.30714318]"
[47.29968405],[1],"[0.72582755 0.87795967 0.07183414 0.09888819 1.82116861 0.46627051
 1.51577169 0.88047841 0.22984098 0.71421308]"
[5.5393021],[0],"[-0.75933091  2.68505488  1.10897627 -0.76728262 -0.94823287  0.89436471
 -0.95031315  0.64989004  0.4380671   0.13394364]"
[14.26159877],[0],"[-0.64908964  0.66345061  0.51550579  0.98353481  0.80763669 -0.46841053
 -0.07998775  0.51450771 -0.16738549  0.03480729]"
[-8.79981681],[1],"[ 1.05476939 -0.42058282 -0.04381845  0.83363738 -0.79667256 -0.44372202
 -0.48074437 -0.03420192 -0.38101926 -0.08683373]"
[17.65164907],[0],"[1.02056801 0.38107413 0.50598215 0.31091581 0.13889892 0.37158454
 1.0325628  0.61722707 1.36706895 0.22807465]"
[-16.56214594],[0],"[-0.44141574 -0.39334563  0.34544629 -0.73951771 -1.14143389 -0.5273548
 -0.57585038 -0.47257333 -0.27400749 -0.19032142]"
[-37.37697389],[1],"[ 0.22042576 -0.69626227 -0.25891385 -0.711354   -1.68423774 -0.78127872
 -1.61918366 -0.8322534  -0.27977834 -0.71435074]"
[35.19131021],[0],"[0.70965594 0.45619844 0.45959648 0.32032105 1.88868809 0.81225076
 0.22928956 0.64452694 0.86812673 0.17931956]"
[35.74118593],[0],"[ 0.34216188  0.79696377 -0.26224772  1.59945616  1.17057269  0.40448086
  0.61816302  1.31540275  0.86726666  1.30336993]"
[-28.2891068],[0],"[-1.80234437  0.15466168 -0.43536833 -0.24605637 -0.19472836 -1.14475721
 -0.95451744 -0.86720825 -0.79620617 -0.70012616]"
[3.12270959],[0],"[ 0.88241056  2.21770997  0.35237919  0.0491198   0.08150783  0.98935262
 -1.1533677   0.05171106  0.42337721  0.22076061]"
[-27.80136871],[0],"[-0.32065313 -1.41315002 -0.83557386  0.22220996 -1.25730607 -0.41311266
 -1.01820421 -0.2674555  -1.75092261  0.05004179]"
[-32.62435386],[1],"[-0.44100526 -0.51272237 -1.07189374 -1.31745232 -1.14382687 -0.51639525
 -0.56753795 -0.75636213 -0.44477675 -0.61749386]"
[37.24895411],[0],"[ 1.27109598  1.41568182  1.40514178  0.63968307  1.36173725  0.00966532
  0.43878348 -0.20716208  0.55229698  0.62291505]"
[-53.92502629],[1],"[-1.72327675 -3.03778409 -1.59740978 -1.40664054 -0.72555541 -2.59932699
 -1.57299722 -1.72467693 -2.33894601 -1.30379079]"
[-57.4354108],[1],"[-0.81403641  0.44289472 -2.31463643 -1.95047362 -1.30503572 -0.58208148
 -1.31892372 -0.56967921 -0.85887568 -1.44476507]"
[-46.66454655],[0],"[-0.6961494  -0.85381744 -0.39100161  0.13938019 -1.2342903  -0.26770165
 -2.2177054  -0.79661993 -0.5432529  -1.15986159]"
[-45.0896698],[1],"[-0.96945152 -1.55950081 -1.26470727 -1.80449883 -1.20300011 -1.13397445
 -0.37917589 -1.19394541 -1.13684484 -1.19900555]"
[-51.61813188],[0],"[-0.39710108 -0.22951092 -1.39753124  0.65914233 -1.28877587 -0.90839135
 -1.15369421 -0.61091334 -0.89064506 -1.01881656]"
[38.90389894],[1],"[1.1258708  0.51740284 0.59344343 1.33813781 0.32527821 1.96015203
 1.37873708 0.74555436 1.51125474 1.09584585]"
[-5.43045914],[1],"[ 0.85613536 -1.04050705 -0.14471781  0.23458479 -0.50755635 -1.08380606
  0.50135947 -0.1655491  -1.06837085 -0.38806716]"
[19.7650922],[1],"[ 0.29305953  1.07962367  0.68862589  0.72640537  0.6132261  -0.0729049
 -0.23815697  0.69759934 -0.20083118 -0.04337334]"
[6.3588294],[0],"[ 0.67922503  0.79456875  0.12152346 -1.04743714 -0.37794494 -0.48396289
  0.82256702 -0.31628408  0.26366964  0.23628404]"
[-40.91454563],[0],"[-1.08575261 -1.72363027 -1.56571077 -1.7258167   0.19919348 -1.87349611
 -0.98614157 -1.37920514 -1.36976182 -1.03062261]"
[-27.23012552],[1],"[-0.5990056  -1.80045124 -0.80253276  1.23009213 -1.19790442  0.52186856
  0.36256477 -0.84450925 -0.34602853 -0.42837203]"
[8.63497551],[0],"[-6.65077505e-01 -1.30128986e+00 -5.12459530e-01 -4.97274050e-01
  1.45798571e+00 -7.80018045e-01 -3.23418559e-02  9.42927001e-04
 -8.04083146e-01 -1.11312430e-01]"
[-7.26132849],[0],"[ 0.8684136  -0.30999232 -0.4051393   0.13650823 -0.55787443  0.48541978
 -0.68303841  0.14835831  0.84185559  0.17792863]"
